Вопрос,Правильный ответ,Вариант 2,Вариант 3,Вариант 4,Количество баллов,
Сколько пар проводов в кабеле UTP-5e,4,2,8,16,3,
Сколько пар проводов используется в Ethernet для передачи данных в full-duplex режиме,2,1,3,4,3,
Что значит слово ubuntu?,человечность,шайтан машина,этикет,порядок,1,
Что лишнее?,Прыгун,Бегун,Зомбак,Ждун,2,
Самый известный в мире алгоритм сжатия данных – это? ,Pied Piper (Пегий Дудочник),RTP (CRTP),MP3,RLE,1,
"Что будет, если сложить по модулю 2 числа 10101 и 10101 ?",0,20202,10001,00001,3,
"Почему в Windows нельзя создать папку ""con""",Слово зарезервировано для обозначения I/O консоли,"Гейтс не любил это слово, так как оно было его школьным прозвищем",Это виртуальное устройство Windows - connection,Из-за нарушения условий использования торговой марки CON LTD.,3,
Как некий Линус Торвальдс относится к NVidia?,Крайне негативно,Позитивно,Одобрительно,Недолюбливает,1,
0 в Unix timestamp – это,1 января 1970г,1 января 1901г,1 января 1900г,1 января 0г,2,
Когда было 1000000000?,9 сентября 2001 года по UTC,1 января 1999,19 сентября 2002,9 февраля 1989 ,2,
Для чего официально предназначался 666 tcp/ip-порт?,DOOM,BBRP,MVTP,VCZP,3,
Какого дистрибутива линукса не существовало?,Gebian,Mandrake,DSL,Knoppix,2,
"Метод масштабирования БД, заключающийся в разбиении крупных таблиц между несколькими серверами",Горизонтальный шардинг,Диагональный шардинг,Вертикальный шардинг,Всеобъемлющий шардинг,3,
Какого уровня модели OSI не существует?,логический,физический,канальный,сетевой,3,
Кто такой Страуструп?,автор С++,соавтор C,автор В,ярый страусоненавистник,1,
Кто такой Расмус Лердорф?,создатель PHP,ярый критик PHP,обычный датчанин,гражданин РФ,1,
"ASCII-код для Enter / Carriage Return (CR)  в десятичной 
системе счисления",13,15,11,10,,
Самоконтролирующийся и самокорректирующийся код,код Хэмминга,код Хэмингуэя,код да Винчи,код Шрёдингера,3,
Сколько бит в char?,8,12,4,1,3,
Как сначала назывался язык С#?,COOL,C++++,C2,C Sharp,1,
"Компания, представившая миру язык C#, – это..?",Microsoft,C# создан сообществом,Google,Intel,1,
Что означает знак # в названии С#?,Диез,Порядковый номер очередного языка С,Нет никакого смысла,Решетка,1,
"Один из самых известных компьютерных вирусов, начавший заражение с Филиппин, поразивший более 3 млн компьютеров",ILOVEYOU,IHATEYOU,IEATYOU,IINFECTYOU,1,
Звук какого животного использован в антивирусе Касперского для оповещения о найденном вирусе?,Свиньи,Котика,Варана,Аллигатора,1,
Самый старый компьютерный вирус – это..?,Creeper,STALKER,Buddy,Teddy Bear,1,
Основной язык программирования в NASA? ,С,Go,JavaScript,Assembler,2,
Какой язык программирования использован NASA для визуальной навигации марсоходов? ,С++,JavaScript,Python,Swift,2,
Самый лучший язык программирования,PHP,C++,JavaScript,Java,1,
Что из этого не является общепризнанным антипаттерном,Одиночка,Полтергейст,Паблик Морозов,Божественный объект,2,
Какую функцию используют для реализации корутин?,longjmp,goto,coroutine_go,sbrk,3,
Генетический алгоритм я – это,Класс алгоритмов оптимизации,Способ обучения нейронных сетей,Название непонятного куска в коде,Я на Баду! А ты?,3,
"When I was six, my sister was half my age. Now I'm 70, how old is she?",67,35,38,6,2,
Название языка PHP переводится как,Препроцессор гипертекста,Инструменты для создания персональных веб-страниц,Я не осилил Перл,"Боже, только не Джава",1,
Кем работал Александр Привалов до того как попасть в НИИЧАВО?,Программистом,Водителем,Астрономом,Врачом,1,
"В PHP если $a==$b и $b==$c, можно ли быть увереным, что $a==$c?",Нет,Да,Не нужно писать на РНР,Не понял вопроса,3,
Сколько букв в русском алфавите,33,32,66,64,1,
Чему равен 1 Кбит/с?,1000 бит/с,1024 бит/с,1000 бод,1024 бод,1,
"Сколько памяти ""хватит всем""?",640 Кб,1 Мб,64 Кб,4 Гб,2,
Перфокарты впервые начали применяться,в ткацких станках,в типографских станках,в военной технике,в БЭСМ,2,
"Закон Мура гласит о том, что...",количество транзисторов в процессорах удваивается каждые 2 года,производительность процессоров удваивается каждые 2 года,количество транзисторов в процессорах удваивается каждый год,Покупать новый iPhone каждый год — это глупо,2,
В честь чего называется утилита ping,"В честь звука, который издаёт сонар",В честь пинг-понга,Probe Internal Network Grounds,В честь создателя из Китая по имени Чен Пинг,2,
Как называется балансировка средствами DNS,Round Robin,Robin Rabin,DNS Switch,Named,3,
Что такое context switch?,Переключение процессора между задачами,Когда тебя постоянно отвлекают от работы менеджеры,Переключение интерпретатора языка из контекстно-зависимой грамматики в контекстно-независимую,Когда на всех сайтах в контекстной рекламе тебе начинают предлагать холодильники после посещения market.yandex.ru,2,
"echo ""Badoo123Bigger Than Dating"" | perl -nl -e '/^\w(\w)?.*?([A-Z]+).*?/ and print $2'",B,T,D,Bigger Than Dating,2,
Что лишнее?,Nginx,php-fpm,Pinba,libpssh,2,
Какое из этих сетевых устройств наиболее примитивно?,Концентратор (хаб),Коммутатор (свитч),Маршрутизатор (роутер),Точка доступа,3,
Чем известен Дональд Кнут?,"Тем, что его книги никто не читает","Написал трёхтомник ""искусство общения с менеджером""",Принимал пожертвования в размене 1 hexadecimal dollar ($2.56) на написание четвёртого тома,Проповедовал использование литературного английского в разработке,2,
"Каков ответ на главный вопрос жизни, вселенной и всего такого?",42,Его нет,Одному Богу известно,Надо спросить Siri/Cotrana/Алису,1,
"Однажды программисты NASA отлаживали код 
программы, запущенной на космическом корабле, 
находившемся на расстоянии 100 млн миль 
от Земли. 
На каком языке была написана та программа?",Lisp,Ada,COBOL,ABAP/4,3,
"Какую версию ядра Linux использовал Skynet в фильме ""Терминатор""?",4.1.15,3.1.15,5.1.15,2.1.15,2,
Автором какой системы контроля версий является Линус Торвальдс (создатель ядра Linux)?,GIT,SVN,Mercurial,GNU Bazaar,1,
"Абстракция, ограничивающая количество потоков, 
которые могут войти в заданный участок кода",семафор,светофор,дежурный,постовой,3,
В криптографической системе с открытым ключом,существует также и закрытый ключ,есть только открытый ключ,"нет возможности 
расшифровать сообщение","нет возможности 
сохранить сообщение 
в тайне, раз ключ открытый",3,
Переведите 1F из 16-ричной в десятичную систему счисления,31,30,15,16,3,
Алгоритм Диффи-Хеллмана предназначен для,получения общего ключа шифрования при обмене данными в незащищенной среде,обмена данными между клиентом и сервером с использованием ассиметричного шифрования,выдачи ssl-сертификатов международными центрами сертификации,подтверждения подлинности источника данных в сети,2,
"Официально считается, что первая в мире компьютерная сеть была создана",2 сентября 1969 в Калифорнийском университете в Лос-Анжелесе,29 октября 1969 года между Калифорнийским и Стенфордским университетами в США,1 января 1983 организацией ARPA с использованием пакетоной передачи данных (IP),Никто точно не знает когда и зачем она создавалась,3,"Видео-интервью с Leonard Kleinrock, который участвовал в создании интернета"
